,File,Energy inside GT,Pointing game,Head,Level
0,original_LS-382_3_3,0.06987674534320831,Hit,P3,LEVEL_I
1,original_LS-382_1_2,0.03185022622346878,Miss,P3,LEVEL_I
2,original_LS-257_1_4,0.19220826029777527,Hit,P3,LEVEL_I
3,original_LS-188_1_3,0.056729331612586975,Hit,P3,LEVEL_I
4,original_LS-382_4_5,0.008650612086057663,Miss,P3,LEVEL_I
5,original_LS-366_1_2,0.5281120538711548,Hit,P3,LEVEL_I
6,original_LS-188_1_2,0.059211958199739456,Hit,P3,LEVEL_I
7,original_LS-366_0_4,0.04034534841775894,Hit,P3,LEVEL_I
8,original_LS-257_2_1,0.04361884295940399,Hit,P3,LEVEL_I
9,original_LS-382_1_4,0.002435112837702036,Miss,P3,LEVEL_I
10,original_LS-257_2_2,0.4700338542461395,Hit,P3,LEVEL_I
11,original_LS-366_5_2,0.21632689237594604,Hit,P3,LEVEL_I
12,original_LS-571_0_5,0.1446106731891632,Hit,P3,LEVEL_I
13,original_LS-571_0_0,0.22878660261631012,Hit,P3,LEVEL_I
14,original_LS-188_1_1,0.02031252160668373,Miss,P3,LEVEL_I
15,original_LS-382_1_3,0.01799386739730835,Miss,P3,LEVEL_I
16,original_LS-366_4_2,0.276093989610672,Hit,P3,LEVEL_I
17,original_LS-257_2_3,0.8078571557998657,Hit,P3,LEVEL_I
18,original_LS-382_5_7,0.0355035662651062,Miss,P3,LEVEL_I
19,original_LS-257_1_2,0.07077661901712418,Hit,P3,LEVEL_I
20,original_LS-571_3_4,0.02637515217065811,Miss,P3,LEVEL_I
21,original_LS-366_2_6,0.1454373598098755,Hit,P3,LEVEL_I
22,original_LS-257_2_5,0.34576889872550964,Hit,P3,LEVEL_I
23,original_LS-366_5_3,0.03376089781522751,Hit,P3,LEVEL_I
24,original_LS-571_0_4,0.13254031538963318,Miss,P3,LEVEL_I
25,original_LS-467_2_2,0.010614819824695587,Miss,P3,LEVEL_I
26,original_LS-570_3_3,0.1762382835149765,Miss,P3,LEVEL_I
27,original_LS-188_2_2,0.10023695230484009,Hit,P3,LEVEL_I
28,original_LS-188_2_4,0.19042785465717316,Hit,P3,LEVEL_I
