               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086496,            0.026891,                   0,             0.54547,             0.34988,             0.35815,             0.13572,            0.064806,            0.028636,                   0,             0.08052,          0.00049949,          0.00049949
                   1,            0.059608,            0.027237,                   0,              0.5899,             0.60665,             0.59183,             0.25314,            0.051374,            0.026613,                   0,            0.061015,          0.00099416,          0.00099416
                   2,            0.052236,            0.026008,                   0,             0.66535,             0.67948,             0.69041,             0.30441,            0.048256,            0.025661,                   0,            0.041504,           0.0014835,           0.0014835
                   3,            0.049849,            0.025582,                   0,             0.66929,             0.68834,             0.69649,             0.31868,            0.046923,            0.025881,                   0,            0.021988,           0.0019675,           0.0019675
                   4,            0.048559,             0.02485,                   0,             0.68927,             0.71161,             0.72833,             0.33408,            0.045842,            0.025237,                   0,           0.0024667,           0.0024462,           0.0024462
                   5,            0.047075,            0.024851,                   0,              0.6934,             0.71033,              0.7273,             0.33917,            0.045244,            0.025193,                   0,           0.0024333,           0.0024333,           0.0024333
                   6,            0.046275,            0.024493,                   0,             0.69389,              0.7196,             0.74115,             0.34612,            0.045036,            0.024788,                   0,           0.0024333,           0.0024333,           0.0024333
                   7,            0.045668,            0.024229,                   0,             0.70556,             0.72888,             0.75458,             0.35368,            0.044477,            0.024736,                   0,             0.00242,             0.00242,             0.00242
                   8,            0.045363,            0.024028,                   0,             0.71139,             0.71798,             0.75415,             0.35687,            0.044263,            0.024679,                   0,           0.0024067,           0.0024067,           0.0024067
                   9,            0.045098,            0.023999,                   0,              0.7098,             0.71863,             0.75243,             0.35729,            0.044144,            0.024559,                   0,           0.0023933,           0.0023933,           0.0023933
                  10,            0.044857,            0.023957,                   0,             0.70371,             0.72073,              0.7505,             0.35661,            0.044048,            0.024686,                   0,             0.00238,             0.00238,             0.00238
                  11,            0.044504,            0.023554,                   0,             0.71084,             0.73071,             0.76214,             0.36226,            0.043914,            0.024508,                   0,           0.0023667,           0.0023667,           0.0023667
                  12,            0.044601,             0.02376,                   0,               0.703,             0.73271,             0.75654,             0.35792,            0.043911,            0.024736,                   0,           0.0023533,           0.0023533,           0.0023533
                  13,            0.044315,            0.023916,                   0,             0.70471,              0.7226,             0.75367,             0.35984,             0.04382,            0.024789,                   0,             0.00234,             0.00234,             0.00234
                  14,            0.044176,            0.023559,                   0,             0.70653,             0.73531,             0.76102,             0.35962,            0.043842,             0.02459,                   0,           0.0023267,           0.0023267,           0.0023267
                  15,            0.044022,            0.023627,                   0,             0.71385,             0.73275,             0.76355,             0.36252,            0.043787,            0.024485,                   0,           0.0023133,           0.0023133,           0.0023133
