File,Thyrocytes_Count,Classification
LS-268.jpg,446,LEVEL IV
LS-453.jpg,68,LEVEL V
LS-368.jpg,43,LEVEL III
LS-580.jpg,37,LEVEL II
LS-591.jpg,26,LEVEL I
LS-443.jpg,439,LEVEL IV
LS-307.jpg,124,LEVEL V
LS-276.jpg,57,LEVEL II
LS-633.jpg,33,LEVEL III
LS-026.jpg,40,LEVEL III
LS-461.jpg,38,LEVEL IV
LS-173.jpg,308,LEVEL III
LS-246.jpg,38,LEVEL I
LS-458.jpg,194,LEVEL IV
LS-308.jpg,115,LEVEL V
LS-092.jpg,17,LEVEL I
LS-618.jpg,45,LEVEL III
LS-258.jpg,71,LEVEL II
LS-201.jpg,30,LEVEL II
LS-219.jpg,149,LEVEL III
LS-557.jpg,37,LEVEL II
LS-001.jpg,34,LEVEL II
LS-153.jpg,142,LEVEL IV
LS-046.jpeg,385,LEVEL V
LS-248.jpg,105,LEVEL III
LS-255.jpg,68,LEVEL III
LS-631.jpg,143,LEVEL III
LS-492.jpg,80,LEVEL II
LS-610.jpg,67,LEVEL III
LS-066.jpeg,74,LEVEL IV
LS-398.jpg,25,LEVEL III
LS-085.jpeg,20,LEVEL III
LS-503.jpg,80,LEVEL IV
LS-376.jpg,362,LEVEL III
LS-165.jpg,18,LEVEL I
LS-017.jpeg,189,LEVEL IV
LS-287.jpg,86,LEVEL IV
LS-191.jpg,19,LEVEL II
LS-410.jpg,224,LEVEL IV
LS-121.jpg,124,LEVEL III
LS-508.jpg,94,LEVEL III
LS-378.jpg,15,LEVEL III
LS-260.jpg,30,LEVEL III
LS-199.jpeg,122,LEVEL II
LS-569.jpg,35,LEVEL I
LS-573.jpg,8,LEVEL I
LS-050.jpeg,60,LEVEL II
LS-617.jpg,304,LEVEL IV
LS-097.jpg,22,LEVEL II
LS-639.jpg,129,LEVEL III
LS-420.jpg,698,LEVEL V
LS-632.jpg,71,LEVEL III
LS-152.jpg,145,LEVEL I
LS-602.jpg,83,LEVEL IV
LS-254.jpg,31,LEVEL III
LS-364.jpg,68,LEVEL IV
LS-196.jpg,76,LEVEL V
LS-437.jpg,2343,LEVEL V
LS-439.jpg,1143,LEVEL IV
LS-483.jpg,72,LEVEL IV
LS-250.jpg,117,LEVEL IV
LS-061.jpg,16,LEVEL III
LS-459.jpg,124,LEVEL II
LS-334.jpg,85,LEVEL V
LS-393.jpg,17,LEVEL II
LS-529.jpg,90,LEVEL IV
LS-304.jpg,28,LEVEL II
LS-619.jpg,463,LEVEL V
LS-361.jpg,137,LEVEL V
LS-222.jpeg,236,LEVEL IV
LS-640.jpg,64,LEVEL III
LS-211.jpeg,29,LEVEL II
LS-577.jpg,36,LEVEL II
LS-317.jpg,586,LEVEL IV
LS-576.jpg,31,LEVEL II
LS-280.jpg,191,LEVEL V
LS-016.jpeg,157,LEVEL IV
LS-313.jpg,93,LEVEL II
LS-188.jpg,51,LEVEL I
LS-593.jpg,43,LEVEL II
LS-587.jpg,142,LEVEL V
LS-275.jpg,229,LEVEL II
LS-583.jpg,12,LEVEL I
LS-114.jpg,108,LEVEL III
LS-161.jpg,15,LEVEL II
LS-525.jpg,266,LEVEL IV
LS-574.jpg,14,LEVEL I
LS-380.jpg,9,LEVEL II
LS-362.jpg,35,LEVEL V
LS-274.jpg,219,LEVEL III
LS-038.jpg,317,LEVEL III
LS-387.jpg,23,LEVEL III
LS-060.jpeg,26,LEVEL I
LS-586.jpg,147,LEVEL V
LS-253.jpg,63,LEVEL II
LS-415.jpg,24,LEVEL III
LS-411.jpg,29,LEVEL II
LS-193.jpeg,28,LEVEL III
LS-518.jpg,38,LEVEL II
LS-498.jpg,147,LEVEL III
LS-013.jpeg,53,LEVEL IV
LS-550.jpg,544,LEVEL V
LS-053.jpg,16,LEVEL II
LS-360.jpg,17,LEVEL IV
LS-237.jpg,102,LEVEL V
LS-118.jpg,117,LEVEL IV
LS-128.jpg,114,LEVEL I
LS-601.jpg,31,LEVEL IV
LS-328.jpg,33,LEVEL III
LS-068.jpg,51,LEVEL III
LS-536.jpg,208,LEVEL III
LS-067.jpeg,58,LEVEL II
LS-181.jpg,18,LEVEL V
LS-125.jpg,294,LEVEL V
LS-064.jpg,106,LEVEL V
LS-178.jpg,247,LEVEL IV
LS-489.jpg,75,LEVEL II
LS-611.jpg,65,LEVEL IV
LS-148.jpg,46,LEVEL II
LS-179.jpg,12,LEVEL II
LS-289.jpg,230,LEVEL III
LS-194.jpg,10,LEVEL I
LS-190.jpg,35,LEVEL II
LS-544.jpg,540,LEVEL III
LS-005.jpeg,211,LEVEL V
LS-435.jpg,762,LEVEL V
LS-129.jpg,28,LEVEL II
LS-104.jpg,46,LEVEL IV
LS-626.jpg,181,LEVEL IV
LS-042.jpeg,63,LEVEL IV
LS-413.jpg,544,LEVEL V
LS-554.jpg,446,LEVEL IV
LS-238.jpg,39,LEVEL I
LS-156.jpg,350,LEVEL V
LS-270.jpg,112,LEVEL III
LS-371.jpg,20,LEVEL I
LS-094.jpg,305,LEVEL IV
LS-139.jpg,22,LEVEL III
LS-496.jpg,35,LEVEL I
LS-552.jpg,325,LEVEL V
LS-485.jpg,116,LEVEL III
LS-595.jpg,32,LEVEL IV
LS-272.jpg,111,LEVEL V
LS-606.jpg,74,LEVEL V
LS-309.jpg,336,LEVEL II
LS-346.jpg,39,LEVEL III
LS-473.jpg,131,LEVEL V
LS-088.jpg,142,LEVEL V
LS-056.jpg,35,LEVEL IV
LS-464.jpg,19,LEVEL II
LS-396.jpg,37,LEVEL V
LS-635.jpg,88,LEVEL IV
LS-236.jpg,42,LEVEL II
LS-513.jpg,62,LEVEL III
LS-169.jpg,85,LEVEL IV
LS-353.jpg,27,LEVEL I
LS-370.jpg,73,LEVEL V
LS-003.jpg,243,LEVEL IV
LS-261.jpg,59,LEVEL V
LS-450.jpg,8,LEVEL I
LS-175.jpg,563,LEVEL IV
LS-079.jpeg,73,LEVEL II
LS-486.jpg,21,LEVEL II
LS-174.jpg,11,LEVEL II
LS-186.jpg,22,LEVEL II
LS-394.jpg,42,LEVEL IV
LS-604.jpg,20,LEVEL I
LS-392.jpg,14,LEVEL II
LS-354.jpg,31,LEVEL III
LS-572.jpg,16,LEVEL I
LS-216.jpeg,23,LEVEL IV
LS-159.jpg,122,LEVEL III
LS-600.jpg,172,LEVEL V
LS-497.jpg,131,LEVEL IV
LS-451.jpg,101,LEVEL IV
LS-494.jpg,134,LEVEL IV
LS-620.jpg,138,LEVEL IV
LS-615.jpg,115,LEVEL V
LS-163.jpg,38,LEVEL IV
LS-215.jpg,202,LEVEL I
LS-592.jpg,18,LEVEL III
LS-225.jpeg,276,LEVEL V
LS-224.jpg,138,LEVEL II
LS-286.jpg,180,LEVEL IV
LS-467.jpg,28,LEVEL I
LS-476.jpg,99,LEVEL IV
LS-421.jpg,18,LEVEL IV
LS-004.jpg,133,LEVEL IV
LS-172.jpg,118,LEVEL II
LS-408.jpg,196,LEVEL IV
LS-337.jpg,301,LEVEL IV
LS-155.jpg,27,LEVEL II
LS-599.jpg,60,LEVEL III
LS-089.jpg,66,LEVEL II
LS-008.jpeg,190,LEVEL V
LS-203.jpg,465,LEVEL V
LS-535.jpg,83,LEVEL III
LS-230.jpg,16,LEVEL II
LS-228.jpeg,20,LEVEL III
LS-123.jpg,20,LEVEL IV
LS-137.jpg,217,LEVEL IV
LS-493.jpg,44,LEVEL IV
LS-279.jpg,215,LEVEL IV
LS-288.jpg,309,LEVEL IV
LS-480.jpg,55,LEVEL III
LS-594.jpg,463,LEVEL V
LS-589.jpg,31,LEVEL II
LS-412.jpg,29,LEVEL II
LS-059.jpeg,61,LEVEL IV
LS-322.jpg,9,LEVEL I
LS-436.jpg,2079,LEVEL V
LS-629.jpg,83,LEVEL IV
LS-160.jpg,14,LEVEL V
LS-052.jpeg,426,LEVEL V
LS-241.jpg,40,LEVEL IV
LS-482.jpg,36,LEVEL IV
LS-621.jpg,190,LEVEL V
LS-454.jpg,32,LEVEL V
LS-448.jpg,40,LEVEL II
LS-404.jpg,43,LEVEL I
LS-616.jpg,86,LEVEL V
LS-210.jpeg,94,LEVEL IV
LS-534.jpg,105,LEVEL III
LS-515.jpg,29,LEVEL II
LS-355.jpg,41,LEVEL V
LS-446.jpg,1060,LEVEL V
LS-103.jpg,120,LEVEL IV
LS-218.jpg,144,LEVEL II
LS-116.jpg,421,LEVEL IV
LS-541.jpg,439,LEVEL II
