,File,Energy inside GT,Pointing game,Head,Level
0,original_LS-382_3_3,0.061859920620918274,Miss,P3,LEVEL_I
1,original_LS-382_1_2,0.03506710007786751,Miss,P3,LEVEL_I
2,original_LS-257_1_4,0.2468428909778595,Hit,P3,LEVEL_I
3,original_LS-188_1_3,0.0660267025232315,Miss,P3,LEVEL_I
4,original_LS-382_4_5,0.0037046384532004595,Miss,P3,LEVEL_I
5,original_LS-366_1_2,0.18362794816493988,Miss,P3,LEVEL_I
6,original_LS-188_1_2,0.07433869689702988,Miss,P3,LEVEL_I
7,original_LS-366_0_4,0.05764113366603851,Miss,P3,LEVEL_I
8,original_LS-257_2_1,0.04492955282330513,Miss,P3,LEVEL_I
9,original_LS-382_1_4,0.004372971598058939,Miss,P3,LEVEL_I
10,original_LS-257_2_2,0.41554805636405945,Hit,P3,LEVEL_I
11,original_LS-366_5_2,0.08725202083587646,Miss,P3,LEVEL_I
12,original_LS-571_0_5,0.07063359767198563,Hit,P3,LEVEL_I
13,original_LS-571_0_0,0.10901686549186707,Hit,P3,LEVEL_I
14,original_LS-188_1_1,0.05667312070727348,Miss,P3,LEVEL_I
15,original_LS-382_1_3,0.03523396700620651,Hit,P3,LEVEL_I
16,original_LS-366_4_2,0.2881419360637665,Hit,P3,LEVEL_I
17,original_LS-257_2_3,0.7404943108558655,Hit,P3,LEVEL_I
18,original_LS-382_5_7,0.012129395268857479,Miss,P3,LEVEL_I
19,original_LS-257_1_2,0.09197454154491425,Hit,P3,LEVEL_I
20,original_LS-571_3_4,0.036405324935913086,Hit,P3,LEVEL_I
21,original_LS-366_2_6,0.0779360979795456,Miss,P3,LEVEL_I
22,original_LS-257_2_5,0.3517242670059204,Hit,P3,LEVEL_I
23,original_LS-366_5_3,0.008970880880951881,Miss,P3,LEVEL_I
24,original_LS-571_0_4,0.053809430450201035,Hit,P3,LEVEL_I
25,original_LS-467_2_2,0.00647431705147028,Miss,P3,LEVEL_I
26,original_LS-570_3_3,0.11899048089981079,Miss,P3,LEVEL_I
27,original_LS-188_2_2,0.1531323343515396,Hit,P3,LEVEL_I
28,original_LS-188_2_4,0.2401983141899109,Hit,P3,LEVEL_I
29,original_LS-188_3_0,0.25884273648262024,Miss,P3,LEVEL_I
