,File,Energy inside GT,Pointing game,Head,Level
0,original_LS-382_3_3,0.03139495104551315,Hit,P3,LEVEL_I
1,original_LS-382_1_2,0.0182085819542408,Miss,P3,LEVEL_I
2,original_LS-257_1_4,0.30947479605674744,Hit,P3,LEVEL_I
3,original_LS-188_1_3,0.07964519411325455,Hit,P3,LEVEL_I
4,original_LS-382_4_5,0.00833214819431305,Miss,P3,LEVEL_I
5,original_LS-366_1_2,0.057978641241788864,Miss,P3,LEVEL_I
6,original_LS-188_1_2,0.10112958401441574,Hit,P3,LEVEL_I
7,original_LS-366_0_4,0.014170256443321705,Miss,P3,LEVEL_I
8,original_LS-257_2_1,0.04914480447769165,Hit,P3,LEVEL_I
9,original_LS-382_1_4,0.0008241793839260936,Miss,P3,LEVEL_I
10,original_LS-257_2_2,0.6294528245925903,Hit,P3,LEVEL_I
11,original_LS-366_5_2,0.030562836676836014,Miss,P3,LEVEL_I
12,original_LS-571_0_5,0.05495348572731018,Hit,P3,LEVEL_I
13,original_LS-571_0_0,0.07667955756187439,Hit,P3,LEVEL_I
14,original_LS-188_1_1,0.058446113020181656,Hit,P3,LEVEL_I
15,original_LS-382_1_3,0.008512429893016815,Miss,P3,LEVEL_I
16,original_LS-366_4_2,0.04461061581969261,Miss,P3,LEVEL_I
17,original_LS-257_2_3,0.8671602606773376,Hit,P3,LEVEL_I
18,original_LS-382_5_7,0.010842502117156982,Miss,P3,LEVEL_I
19,original_LS-257_1_2,0.1513478308916092,Hit,P3,LEVEL_I
20,original_LS-571_3_4,0.011116383597254753,Miss,P3,LEVEL_I
21,original_LS-366_2_6,0.05719473958015442,Miss,P3,LEVEL_I
22,original_LS-257_2_5,0.27408862113952637,Hit,P3,LEVEL_I
23,original_LS-366_5_3,0.010464389808475971,Miss,P3,LEVEL_I
24,original_LS-571_0_4,0.04461841657757759,Miss,P3,LEVEL_I
25,original_LS-467_2_2,0.005793913267552853,Miss,P3,LEVEL_I
26,original_LS-570_3_3,0.0598478764295578,Miss,P3,LEVEL_I
27,original_LS-188_2_2,0.18413548171520233,Hit,P3,LEVEL_I
28,original_LS-188_2_4,0.22868207097053528,Hit,P3,LEVEL_I
29,original_LS-188_3_0,0.36642399430274963,Hit,P3,LEVEL_I
30,original_LS-366_4_5,0.012981431558728218,Miss,P3,LEVEL_I
31,original_LS-382_4_6,0.11805275827646255,Miss,P3,LEVEL_I
32,original_LS-382_4_7,0.024095455184578896,Hit,P3,LEVEL_I
33,original_LS-382_2_4,0.16713716089725494,Hit,P3,LEVEL_I
34,original_LS-257_3_3,0.24547377228736877,Hit,P3,LEVEL_I
35,original_LS-257_2_6,0.010739745572209358,Miss,P3,LEVEL_I
36,original_LS-570_2_3,0.3291904628276825,Hit,P3,LEVEL_I
37,original_LS-366_2_3,0.12789233028888702,Miss,P3,LEVEL_I
38,original_LS-382_3_4,0.021381596103310585,Hit,P3,LEVEL_I
39,original_LS-366_3_4,0.005845475476235151,Miss,P3,LEVEL_I
40,original_LS-257_1_1,0.10663658380508423,Hit,P3,LEVEL_I
