Level,Image,Rating,Step,Smear
LEVEL_IV,LS-282-A,3,2-Step Clustering,LS-282
LEVEL_IV,LS-282-A,2,2-Step Clustering,LS-282
LEVEL_IV,LS-282-A,1,2-Step Clustering,LS-282
LEVEL_IV,LS-282-A,3,2-Step Clustering,LS-282
LEVEL_IV,LS-282-B,3,3-Step Clustering,LS-282
LEVEL_IV,LS-282-B,4,3-Step Clustering,LS-282
LEVEL_IV,LS-282-B,1,3-Step Clustering,LS-282
LEVEL_IV,LS-282-B,3,3-Step Clustering,LS-282
LEVEL_IV,LS-494-A,4,2-Step Clustering,LS-494
LEVEL_IV,LS-494-A,3,2-Step Clustering,LS-494
LEVEL_IV,LS-494-A,4,2-Step Clustering,LS-494
LEVEL_IV,LS-494-A,3,2-Step Clustering,LS-494
LEVEL_IV,LS-494-B,4,3-Step Clustering,LS-494
LEVEL_IV,LS-494-B,4,3-Step Clustering,LS-494
LEVEL_IV,LS-494-B,4,3-Step Clustering,LS-494
LEVEL_IV,LS-494-B,4,3-Step Clustering,LS-494
LEVEL_IV,LS-503-A,4,2-Step Clustering,LS-503
LEVEL_IV,LS-503-A,3,2-Step Clustering,LS-503
LEVEL_IV,LS-503-A,4,2-Step Clustering,LS-503
LEVEL_IV,LS-503-A,3,2-Step Clustering,LS-503
LEVEL_IV,LS-503-B,4,3-Step Clustering,LS-503
LEVEL_IV,LS-503-B,4,3-Step Clustering,LS-503
LEVEL_IV,LS-503-B,4,3-Step Clustering,LS-503
LEVEL_IV,LS-503-B,4,3-Step Clustering,LS-503
LEVEL_IV,LS-395-A,4,2-Step Clustering,LS-395
LEVEL_IV,LS-395-A,1,2-Step Clustering,LS-395
LEVEL_IV,LS-395-A,3,2-Step Clustering,LS-395
LEVEL_IV,LS-395-A,3,2-Step Clustering,LS-395
LEVEL_IV,LS-395-B,4,3-Step Clustering,LS-395
LEVEL_IV,LS-395-B,1,3-Step Clustering,LS-395
LEVEL_IV,LS-395-B,3,3-Step Clustering,LS-395
LEVEL_IV,LS-395-B,4,3-Step Clustering,LS-395
LEVEL_IV,LS-288-A,4,2-Step Clustering,LS-288
LEVEL_IV,LS-288-A,4,2-Step Clustering,LS-288
LEVEL_IV,LS-288-A,4,2-Step Clustering,LS-288
LEVEL_IV,LS-288-A,4,2-Step Clustering,LS-288
LEVEL_IV,LS-288-B,4,3-Step Clustering,LS-288
LEVEL_IV,LS-288-B,4,3-Step Clustering,LS-288
LEVEL_IV,LS-288-B,4,3-Step Clustering,LS-288
LEVEL_IV,LS-288-B,4,3-Step Clustering,LS-288
LEVEL_IV,LS-239-A,3,2-Step Clustering,LS-239
LEVEL_IV,LS-239-A,2,2-Step Clustering,LS-239
LEVEL_IV,LS-239-A,1,2-Step Clustering,LS-239
LEVEL_IV,LS-239-A,3,2-Step Clustering,LS-239
LEVEL_IV,LS-239-B,3,3-Step Clustering,LS-239
LEVEL_IV,LS-239-B,2,3-Step Clustering,LS-239
LEVEL_IV,LS-239-B,1,3-Step Clustering,LS-239
LEVEL_IV,LS-239-B,3,3-Step Clustering,LS-239
LEVEL_IV,LS-601-A,4,2-Step Clustering,LS-601
LEVEL_IV,LS-601-A,3,2-Step Clustering,LS-601
LEVEL_IV,LS-601-A,2,2-Step Clustering,LS-601
LEVEL_IV,LS-601-A,3,2-Step Clustering,LS-601
LEVEL_IV,LS-601-B,4,3-Step Clustering,LS-601
LEVEL_IV,LS-601-B,4,3-Step Clustering,LS-601
LEVEL_IV,LS-601-B,4,3-Step Clustering,LS-601
LEVEL_IV,LS-601-B,4,3-Step Clustering,LS-601
LEVEL_IV,LS-291-A,4,2-Step Clustering,LS-291
LEVEL_IV,LS-291-A,4,2-Step Clustering,LS-291
LEVEL_IV,LS-291-A,4,2-Step Clustering,LS-291
LEVEL_IV,LS-291-A,4,2-Step Clustering,LS-291
LEVEL_IV,LS-291-B,4,3-Step Clustering,LS-291
LEVEL_IV,LS-291-B,4,3-Step Clustering,LS-291
LEVEL_IV,LS-291-B,4,3-Step Clustering,LS-291
LEVEL_IV,LS-291-B,4,3-Step Clustering,LS-291
LEVEL_IV,LS-252-A,4,2-Step Clustering,LS-252
LEVEL_IV,LS-252-A,4,2-Step Clustering,LS-252
LEVEL_IV,LS-252-A,4,2-Step Clustering,LS-252
LEVEL_IV,LS-252-A,4,2-Step Clustering,LS-252
LEVEL_IV,LS-252-B,4,3-Step Clustering,LS-252
LEVEL_IV,LS-252-B,4,3-Step Clustering,LS-252
LEVEL_IV,LS-252-B,4,3-Step Clustering,LS-252
LEVEL_IV,LS-252-B,4,3-Step Clustering,LS-252
LEVEL_IV,LS-461-A,4,2-Step Clustering,LS-461
LEVEL_IV,LS-461-A,4,2-Step Clustering,LS-461
LEVEL_IV,LS-461-A,2,2-Step Clustering,LS-461
LEVEL_IV,LS-461-A,3,2-Step Clustering,LS-461
LEVEL_IV,LS-461-B,4,3-Step Clustering,LS-461
LEVEL_IV,LS-461-B,4,3-Step Clustering,LS-461
LEVEL_IV,LS-461-B,2,3-Step Clustering,LS-461
LEVEL_IV,LS-461-B,3,3-Step Clustering,LS-461
LEVEL_IV,LS-075-A,4,2-Step Clustering,LS-075
LEVEL_IV,LS-075-A,3,2-Step Clustering,LS-075
LEVEL_IV,LS-075-A,3,2-Step Clustering,LS-075
