,File,Energy inside Thyrocyte,Energy inside Confounder,Pointing game,Head,Level,Thyrocyte Count,Confounder Count
0,original_LS-310_3_1,0.0,0.021687433123588562,confounder,P3,LEVEL_I,0,2
1,original_LS-010_5_1,0.0,0.044354598969221115,confounder,P3,LEVEL_I,0,1
2,original_LS-115_5_4,0.0,0.013422582298517227,confounder,P3,LEVEL_I,0,2
3,original_LS-257_2_6,0.0,0.7361183166503906,confounder,P3,LEVEL_I,1,8
4,original_LS-235_5_5,0.0,0.04639533534646034,confounder,P3,LEVEL_I,0,2
5,original_LS-310_1_0,0.01839435286819935,0.9830790162086487,confounder,P3,LEVEL_I,6,27
6,original_LS-235_0_6,0.0,0.2608984410762787,confounder,P3,LEVEL_I,0,6
7,original_LS-235_1_1,0.0,0.263327956199646,confounder,P3,LEVEL_I,0,5
8,original_LS-235_3_0,0.0,0.08290950953960419,confounder,P3,LEVEL_I,0,2
9,original_LS-010_2_4,0.0,0.0,confounder,P3,LEVEL_I,3,10
10,original_LS-310_5_0,0.0,0.0,background,P3,LEVEL_I,5,0
11,original_LS-257_3_0,0.0,0.7627337574958801,confounder,P3,LEVEL_I,0,60
12,original_LS-115_1_4,0.0,0.09713993966579437,confounder,P3,LEVEL_I,0,2
13,original_LS-310_4_4,0.5074905157089233,0.0,thyrocyte,P3,LEVEL_I,6,0
14,original_LS-257_4_2,0.0,0.019506141543388367,background,P3,LEVEL_I,0,1
15,original_LS-567_4_3,0.0,0.14469003677368164,confounder,P3,LEVEL_I,1,2
16,original_LS-567_1_7,0.0,0.2767529785633087,background,P3,LEVEL_I,0,9
17,original_LS-115_1_1,0.0,0.1890154331922531,confounder,P3,LEVEL_I,0,4
18,original_LS-567_4_7,0.0,0.32006847858428955,confounder,P3,LEVEL_I,0,11
19,original_LS-257_1_2,0.020838188007473946,0.8480549454689026,confounder,P3,LEVEL_I,3,42
20,original_LS-567_3_4,0.0,0.08422902226448059,confounder,P3,LEVEL_I,0,3
21,original_LS-115_3_6,0.0,0.10274122655391693,confounder,P3,LEVEL_I,0,3
22,original_LS-010_3_4,0.0,0.8558443188667297,confounder,P3,LEVEL_I,3,10
23,original_LS-567_3_5,0.12046360969543457,0.0,thyrocyte,P3,LEVEL_I,6,2
24,original_LS-010_1_4,0.9329786896705627,0.0,thyrocyte,P3,LEVEL_I,5,3
25,original_LS-235_4_1,0.0,0.41597071290016174,confounder,P3,LEVEL_I,0,5
26,original_LS-010_2_6,0.0,0.0,background,P3,LEVEL_I,10,5
27,original_LS-115_2_3,0.24203155934810638,0.0,thyrocyte,P3,LEVEL_I,7,2
28,original_LS-010_0_5,0.0,0.05496944114565849,confounder,P3,LEVEL_I,0,1
29,original_LS-235_3_3,0.0,0.11294921487569809,confounder,P3,LEVEL_I,2,1
