,File,Energy inside Thyrocyte,Energy inside Confounder,Pointing game,Head,Level,Thyrocyte Count,Confounder Count
0,original_LS-310_3_1,0.0,0.011794214136898518,background,P3,LEVEL_I,0,2
1,original_LS-010_5_1,0.0,0.03435586020350456,background,P3,LEVEL_I,0,1
2,original_LS-115_5_4,0.0,0.008981122635304928,background,P3,LEVEL_I,0,2
3,original_LS-257_2_6,6.732741439918755e-06,0.22128187119960785,confounder,P3,LEVEL_I,1,8
4,original_LS-235_5_5,0.0,0.031099490821361542,background,P3,LEVEL_I,0,2
5,original_LS-310_1_0,0.024521714076399803,0.2322545349597931,confounder,P3,LEVEL_I,6,27
6,original_LS-235_0_6,0.0,0.09916868805885315,background,P3,LEVEL_I,0,6
7,original_LS-235_1_1,0.0,0.07309292256832123,confounder,P3,LEVEL_I,0,5
8,original_LS-235_3_0,0.0,0.013957320712506771,background,P3,LEVEL_I,0,2
9,original_LS-010_2_4,0.009907086379826069,0.15720371901988983,confounder,P3,LEVEL_I,3,10
10,original_LS-310_5_0,0.031456124037504196,0.0,background,P3,LEVEL_I,5,0
11,original_LS-257_3_0,0.0,0.6045413017272949,confounder,P3,LEVEL_I,0,60
12,original_LS-115_1_4,0.0,0.025673335418105125,background,P3,LEVEL_I,0,2
13,original_LS-310_4_4,0.02234995737671852,0.0,background,P3,LEVEL_I,6,0
14,original_LS-257_4_2,0.0,0.05868084356188774,background,P3,LEVEL_I,0,1
15,original_LS-567_4_3,0.0001393655693391338,0.0419553704559803,background,P3,LEVEL_I,1,2
16,original_LS-567_1_7,0.0,0.12018679827451706,background,P3,LEVEL_I,0,9
17,original_LS-115_1_1,0.0,0.02859916165471077,background,P3,LEVEL_I,0,4
18,original_LS-567_4_7,0.0,0.20122362673282623,confounder,P3,LEVEL_I,0,11
19,original_LS-257_1_2,0.013052008114755154,0.45067864656448364,confounder,P3,LEVEL_I,3,42
20,original_LS-567_3_4,0.0,0.05568564310669899,background,P3,LEVEL_I,0,3
