,File,Energy inside Thyrocyte,Energy inside Confounder,Pointing game,Head,Level,Thyrocyte Count,Confounder Count
0,original_LS-310_3_1,0.0,0.011317716911435127,confounder,P3,LEVEL_I,0,2
1,original_LS-010_5_1,0.0,0.0529339425265789,background,P3,LEVEL_I,0,1
2,original_LS-115_5_4,0.0,0.010331823490560055,confounder,P3,LEVEL_I,0,2
3,original_LS-257_2_6,0.0003110957914032042,0.20710745453834534,confounder,P3,LEVEL_I,1,8
4,original_LS-235_5_5,0.0,0.03397715464234352,confounder,P3,LEVEL_I,0,2
5,original_LS-310_1_0,0.0024356835056096315,0.11540669947862625,background,P3,LEVEL_I,6,27
6,original_LS-235_0_6,0.0,0.1091601699590683,confounder,P3,LEVEL_I,0,6
7,original_LS-235_1_1,0.0,0.08044429868459702,background,P3,LEVEL_I,0,5
8,original_LS-235_3_0,0.0,0.050757791846990585,confounder,P3,LEVEL_I,0,2
9,original_LS-010_2_4,0.0006682743551209569,0.010179111734032631,background,P3,LEVEL_I,3,10
10,original_LS-310_5_0,0.10958249121904373,0.0,background,P3,LEVEL_I,5,0
11,original_LS-257_3_0,0.0,0.24474722146987915,background,P3,LEVEL_I,0,60
12,original_LS-115_1_4,0.0,0.036036036908626556,background,P3,LEVEL_I,0,2
13,original_LS-310_4_4,0.5862290859222412,0.0,thyrocyte,P3,LEVEL_I,6,0
14,original_LS-257_4_2,0.0,0.03578399494290352,background,P3,LEVEL_I,0,1
15,original_LS-567_4_3,0.0,0.023230038583278656,background,P3,LEVEL_I,1,2
16,original_LS-567_1_7,0.0,0.17036400735378265,background,P3,LEVEL_I,0,9
17,original_LS-115_1_1,0.0,0.05169422924518585,background,P3,LEVEL_I,0,4
18,original_LS-567_4_7,0.0,0.27041372656822205,confounder,P3,LEVEL_I,0,11
19,original_LS-257_1_2,0.0012106444919481874,0.2811329662799835,background,P3,LEVEL_I,3,42
20,original_LS-567_3_4,0.0,0.048860665410757065,confounder,P3,LEVEL_I,0,3
21,original_LS-115_3_6,0.0,0.07352008670568466,background,P3,LEVEL_I,0,3
22,original_LS-010_3_4,2.8046235456713475e-05,0.014269620180130005,background,P3,LEVEL_I,3,10
23,original_LS-567_3_5,0.17544759809970856,0.00037966028321534395,thyrocyte,P3,LEVEL_I,6,2
24,original_LS-010_1_4,0.0,0.01250983402132988,background,P3,LEVEL_I,5,3
25,original_LS-235_4_1,0.0,0.13171127438545227,background,P3,LEVEL_I,0,5
26,original_LS-010_2_6,0.05328046903014183,0.025285279378294945,background,P3,LEVEL_I,10,5
