,File,Energy inside Thyrocyte,Energy inside Confounder,Pointing game,Head,Level,Thyrocyte Count,Confounder Count
0,original_LS-310_3_1,0.0,0.006739514879882336,confounder,P3,LEVEL_I,0,2
1,original_LS-010_5_1,0.0,0.0318487212061882,background,P3,LEVEL_I,0,1
2,original_LS-115_5_4,0.0,0.006474105641245842,background,P3,LEVEL_I,0,2
3,original_LS-257_2_6,0.00014236810966394842,0.18419772386550903,background,P3,LEVEL_I,1,8
4,original_LS-235_5_5,0.0,0.03411189466714859,background,P3,LEVEL_I,0,2
5,original_LS-310_1_0,0.03904319182038307,0.219056636095047,background,P3,LEVEL_I,6,27
6,original_LS-235_0_6,0.0,0.11320797353982925,background,P3,LEVEL_I,0,6
7,original_LS-235_1_1,0.0,0.04315723851323128,background,P3,LEVEL_I,0,5
8,original_LS-235_3_0,0.0,0.018336335197091103,background,P3,LEVEL_I,0,2
9,original_LS-010_2_4,0.004055836237967014,0.11554209887981415,background,P3,LEVEL_I,3,10
10,original_LS-310_5_0,0.029808230698108673,0.0,background,P3,LEVEL_I,5,0
11,original_LS-257_3_0,0.0,0.5958805084228516,confounder,P3,LEVEL_I,0,60
12,original_LS-115_1_4,0.0,0.016930390149354935,background,P3,LEVEL_I,0,2
13,original_LS-310_4_4,0.08991216868162155,0.0,thyrocyte,P3,LEVEL_I,6,0
14,original_LS-257_4_2,0.0,0.028797069564461708,background,P3,LEVEL_I,0,1
15,original_LS-567_4_3,0.0059964340180158615,0.048243872821331024,background,P3,LEVEL_I,1,2
16,original_LS-567_1_7,0.0,0.10949753224849701,background,P3,LEVEL_I,0,9
17,original_LS-115_1_1,0.0,0.02841229736804962,background,P3,LEVEL_I,0,4
18,original_LS-567_4_7,0.0,0.16450391709804535,background,P3,LEVEL_I,0,11
19,original_LS-257_1_2,0.010841264389455318,0.48933711647987366,confounder,P3,LEVEL_I,3,42
20,original_LS-567_3_4,0.0,0.04631175473332405,confounder,P3,LEVEL_I,0,3
21,original_LS-115_3_6,0.0,0.04147971048951149,background,P3,LEVEL_I,0,3
22,original_LS-010_3_4,0.01651904731988907,0.09797792136669159,confounder,P3,LEVEL_I,3,10
23,original_LS-567_3_5,0.25744926929473877,0.0007868960965424776,background,P3,LEVEL_I,6,2
24,original_LS-010_1_4,0.018668673932552338,0.06672236323356628,background,P3,LEVEL_I,5,3
25,original_LS-235_4_1,0.0,0.09382414072751999,background,P3,LEVEL_I,0,5
26,original_LS-010_2_6,0.5139878988265991,0.006291727069765329,thyrocyte,P3,LEVEL_I,10,5
27,original_LS-115_2_3,0.10475465655326843,0.01764361746609211,thyrocyte,P3,LEVEL_I,7,2
28,original_LS-010_0_5,0.0,0.005146993789821863,background,P3,LEVEL_I,0,1
29,original_LS-235_3_3,0.0007734670653007925,0.004626582842320204,background,P3,LEVEL_I,2,1
30,original_LS-010_4_4,0.00042523795855231583,0.03539527207612991,background,P3,LEVEL_I,1,7
31,original_LS-115_4_1,0.0,0.08898191154003143,background,P3,LEVEL_I,0,8
32,original_LS-235_5_3,0.0,0.025696270167827606,background,P3,LEVEL_I,0,1
33,original_LS-567_2_5,0.5059607028961182,0.0077202594839036465,background,P3,LEVEL_I,13,7
34,original_LS-010_3_6,0.009505719877779484,0.07924102991819382,background,P3,LEVEL_I,2,7
35,original_LS-257_5_7,0.0,0.010014064610004425,background,P3,LEVEL_I,0,1
36,original_LS-567_5_0,0.0,0.03451749309897423,confounder,P3,LEVEL_I,0,2
37,original_LS-115_4_0,0.0,0.10109224170446396,background,P3,LEVEL_I,0,7
38,original_LS-567_3_2,0.0,0.19614355266094208,confounder,P3,LEVEL_I,0,10
39,original_LS-257_2_2,0.120106540620327,0.6009917855262756,thyrocyte,P3,LEVEL_I,19,43
40,original_LS-257_4_7,0.0,0.1719019114971161,background,P3,LEVEL_I,0,2
41,original_LS-310_3_3,0.8361649513244629,0.006592159159481525,thyrocyte,P3,LEVEL_I,27,4
42,original_LS-010_4_1,0.012286859564483166,0.04805050790309906,background,P3,LEVEL_I,3,3
43,original_LS-310_0_7,0.0,0.023563675582408905,background,P3,LEVEL_I,0,3
44,original_LS-010_4_2,0.005835716612637043,0.2732306122779846,confounder,P3,LEVEL_I,3,9
45,original_LS-567_0_8,0.0,0.000365930114639923,background,P3,LEVEL_I,0,1
46,original_LS-115_2_4,0.4179282784461975,0.0003397158288862556,thyrocyte,P3,LEVEL_I,8,3
47,original_LS-010_0_6,0.0,0.03924772888422012,background,P3,LEVEL_I,0,5
48,original_LS-115_1_3,0.0,0.08407492935657501,background,P3,LEVEL_I,0,4
49,original_LS-567_2_3,0.0,0.09024670720100403,background,P3,LEVEL_I,0,9
50,original_LS-567_4_1,0.0,0.09569700807332993,background,P3,LEVEL_I,0,6
51,original_LS-257_3_6,0.0,0.26972272992134094,background,P3,LEVEL_I,0,9
52,original_LS-567_0_2,0.0,0.4484734833240509,background,P3,LEVEL_I,0,30
53,original_LS-235_4_5,0.0,0.0938844382762909,background,P3,LEVEL_I,0,4
54,original_LS-235_4_7,0.0,0.035375192761421204,background,P3,LEVEL_I,0,2
55,original_LS-310_2_1,0.06452257186174393,0.27679872512817383,confounder,P3,LEVEL_I,9,31
56,original_LS-310_0_0,0.040787309408187866,0.20029179751873016,confounder,P3,LEVEL_I,6,19
57,original_LS-115_3_3,0.4879177212715149,0.025974133983254433,thyrocyte,P3,LEVEL_I,6,3
58,original_LS-010_0_8,0.0,0.003987544681876898,background,P3,LEVEL_I,0,1
59,original_LS-115_0_2,0.0,0.05694829672574997,background,P3,LEVEL_I,0,7
60,original_LS-115_1_6,0.0,0.10178518295288086,background,P3,LEVEL_I,0,7
61,original_LS-115_0_6,0.0,0.03419261798262596,background,P3,LEVEL_I,0,2
62,original_LS-567_1_2,0.01247327495366335,0.2623920142650604,background,P3,LEVEL_I,8,16
63,original_LS-257_1_4,0.6389342546463013,0.055383581668138504,thyrocyte,P3,LEVEL_I,10,11
64,original_LS-115_5_3,0.0,0.03500664234161377,background,P3,LEVEL_I,0,2
65,original_LS-567_5_1,0.0,0.04058924689888954,background,P3,LEVEL_I,0,1
66,original_LS-567_1_3,0.0,0.4589942991733551,background,P3,LEVEL_I,0,25
67,original_LS-235_0_3,0.0,0.034048568457365036,background,P3,LEVEL_I,0,3
68,original_LS-115_1_2,0.0,0.07316379249095917,background,P3,LEVEL_I,0,7
69,original_LS-257_4_0,0.0,0.5257651805877686,confounder,P3,LEVEL_I,0,55
70,original_LS-310_3_2,0.004752954468131065,0.011250285431742668,background,P3,LEVEL_I,2,2
71,original_LS-235_1_0,0.0,0.14746707677841187,background,P3,LEVEL_I,0,5
72,original_LS-567_2_0,0.0,0.02857351303100586,background,P3,LEVEL_I,0,5
73,original_LS-235_3_6,0.0,0.03196321800351143,background,P3,LEVEL_I,0,3
74,original_LS-235_3_4,0.006317855324596167,0.02583233080804348,background,P3,LEVEL_I,3,3
75,original_LS-310_2_3,0.9167002439498901,0.007673714309930801,thyrocyte,P3,LEVEL_I,73,7
76,original_LS-235_4_3,0.0,0.03782728686928749,background,P3,LEVEL_I,0,4
77,original_LS-257_2_3,0.9304491281509399,0.006783470511436462,thyrocyte,P3,LEVEL_I,52,12
78,original_LS-235_4_0,0.0,0.03315030410885811,background,P3,LEVEL_I,0,2
79,original_LS-010_0_1,0.0,0.04944709688425064,background,P3,LEVEL_I,0,2
80,original_LS-257_0_5,0.0,0.12479637563228607,background,P3,LEVEL_I,0,10
81,original_LS-010_2_5,0.04642973095178604,0.0915694460272789,background,P3,LEVEL_I,8,7
82,original_LS-010_3_0,0.0,0.033496201038360596,background,P3,LEVEL_I,0,3
83,original_LS-310_0_5,0.02103678695857525,0.3113463521003723,confounder,P3,LEVEL_I,3,30
84,original_LS-310_3_4,0.49516257643699646,0.0,thyrocyte,P3,LEVEL_I,9,0
85,original_LS-567_1_0,0.0,0.0409102700650692,background,P3,LEVEL_I,0,2
86,original_LS-257_1_6,4.28028215537779e-06,0.11527737230062485,confounder,P3,LEVEL_I,1,8
87,original_LS-115_4_3,0.0,0.03459823876619339,background,P3,LEVEL_I,0,4
88,original_LS-115_4_5,0.0,0.07916433364152908,background,P3,LEVEL_I,0,7
