File,Thyrocytes_Count,Classification
LS-001.jpg,34,LEVEL_II
LS-002.jpg,208,LEVEL_III
LS-003.jpg,243,LEVEL_IV
LS-004.jpg,133,LEVEL_V
LS-005.jpeg,211,LEVEL_V
LS-007.png,9,LEVEL_I
LS-008.jpeg,190,LEVEL_V
LS-009.jpeg,99,LEVEL_III
LS-010.jpeg,62,LEVEL_I
LS-011.jpeg,304,LEVEL_II
LS-012.jpeg,279,LEVEL_V
LS-013.jpeg,53,LEVEL_IV
LS-015.jpeg,175,LEVEL_III
LS-016.jpeg,157,LEVEL_IV
LS-017.jpeg,189,LEVEL_IV
LS-018.jpeg,124,LEVEL_III
LS-019.jpg,71,LEVEL_III
LS-021.jpeg,148,LEVEL_II
LS-022.jpeg,249,LEVEL_IV
LS-023.jpg,55,LEVEL_II
LS-024.jpg,21,LEVEL_II
LS-025.jpg,171,LEVEL_III
LS-026.jpg,40,LEVEL_III
LS-030.jpg,88,LEVEL_III
LS-031.jpeg,80,LEVEL_II
LS-032.jpeg,427,LEVEL_IV
LS-034.jpg,91,LEVEL_V
LS-035.jpg,8,LEVEL_I
LS-036.jpg,45,LEVEL_II
LS-037.jpg,35,LEVEL_IV
LS-038.jpg,317,LEVEL_III
LS-039.jpeg,27,LEVEL_II
LS-041.jpg,10,LEVEL_I
LS-042.jpeg,63,LEVEL_V
LS-043.jpeg,100,LEVEL_III
LS-044.jpg,19,LEVEL_I
LS-045.jpg,29,LEVEL_V
LS-046.jpeg,385,LEVEL_V
LS-047.jpeg,163,LEVEL_III
LS-049.jpeg,130,LEVEL_II
LS-050.jpeg,60,LEVEL_II
LS-051.jpeg,289,LEVEL_V
LS-052.jpeg,426,LEVEL_V
LS-053.jpg,16,LEVEL_II
LS-055.jpg,75,LEVEL_III
LS-056.jpg,35,LEVEL_IV
LS-057.jpg,55,LEVEL_V
LS-058.jpeg,64,LEVEL_I
LS-059.jpeg,61,LEVEL_IV
LS-060.jpeg,26,LEVEL_I
LS-061.jpg,16,LEVEL_III
LS-062.jpeg,61,LEVEL_II
LS-063.jpg,31,LEVEL_III
LS-064.jpg,106,LEVEL_V
LS-065.jpeg,291,LEVEL_V
LS-066.jpeg,74,LEVEL_IV
LS-067.jpeg,58,LEVEL_II
LS-068.jpg,51,LEVEL_III
LS-069.jpeg,13,LEVEL_I
LS-070.jpg,366,LEVEL_V
LS-073.jpeg,13,LEVEL_II
LS-074.jpeg,163,LEVEL_II
LS-075.jpeg,131,LEVEL_IV
LS-076.jpeg,607,LEVEL_V
LS-077.jpg,19,LEVEL_III
LS-078.jpeg,28,LEVEL_III
LS-079.jpeg,73,LEVEL_II
LS-080.jpeg,406,LEVEL_III
LS-081.jpeg,394,LEVEL_V
LS-082.jpg,189,LEVEL_V
LS-083.jpg,13,LEVEL_I
LS-084.jpeg,122,LEVEL_V
LS-085.jpeg,20,LEVEL_III
LS-086.jpeg,385,LEVEL_V
LS-087.jpeg,44,LEVEL_V
