File,Thyrocyte_Annotation_Path,Cluster_Annotation_Path,Updated_Cluster_Annotation_Path,Updated_Thyrocyte_and_Cluster_Annotation_Path,Image_Path,Confusant_Path
LS-023.jpg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-023A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-023B.json,,,raw/fnab/BATCH 1/LS-023.jpg,raw/fnab/Confusant/LS-023-confusant.csv
LS-079.jpeg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-079A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-079B.json,,,raw/fnab/BATCH 1/LS-079.jpeg,raw/fnab/Confusant/LS-079-confusant.csv
LS-043.jpeg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-043A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-043B.json,,,raw/fnab/BATCH 1/LS-043.jpeg,raw/fnab/Confusant/LS-043-confusant.csv
LS-064.jpg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-064A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-064B.json,,,raw/fnab/BATCH 1/LS-064.jpg,
LS-025.jpg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-025A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-025B.json,,,raw/fnab/BATCH 1/LS-025.jpg,raw/fnab/Confusant/LS-025-confusant.csv
LS-012.jpeg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-012A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-012B.json,,,raw/fnab/BATCH 1/LS-012.jpeg,
LS-016.jpeg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-016A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-016B.json,,,raw/fnab/BATCH 1/LS-016.jpeg,raw/fnab/Confusant/LS-016-confusant.csv
LS-053.jpg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-053A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-053B.json,,,raw/fnab/BATCH 1/LS-053.jpg,raw/fnab/Confusant/LS-053-confusant.csv
LS-038.jpg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-038A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-038B.json,,,raw/fnab/BATCH 1/LS-038.jpg,raw/fnab/Confusant/LS-038-confusant.csv
LS-034.jpg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-034A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-034B.json,,,raw/fnab/BATCH 1/LS-034.jpg,
LS-047.jpeg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-047A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-047B.json,,,raw/fnab/BATCH 1/LS-047.jpeg,raw/fnab/Confusant/LS-047-confusant.csv
LS-026.jpg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-026A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-026B.json,,,raw/fnab/BATCH 1/LS-026.jpg,raw/fnab/Confusant/LS-026-confusant.csv
LS-004.jpg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-004A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-004B.json,,,raw/fnab/BATCH 1/LS-004.jpg,raw/fnab/Confusant/LS-004-confusant.csv
LS-001.jpg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-001A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-001B.json,,,raw/fnab/BATCH 1/LS-001.jpg,
LS-049.jpeg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-049A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-049B.json,,,raw/fnab/BATCH 1/LS-049.jpeg,raw/fnab/Confusant/LS-049-confusant.csv
LS-069.jpeg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-069A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-069B.json,,,raw/fnab/BATCH 1/LS-069.jpeg,raw/fnab/Confusant/LS-069-confusant.csv
LS-057.jpg,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-057A.csv,raw/fnab/BATCH 1 - ANNOTATED FILES/LS-057B.json,,,raw/fnab/BATCH 1/LS-057.jpg,
